Historical_DX_ID,Historical_PX_ID,Episode_Type,Age_Group,Gender,Source_Code,Currency_Code,Patient_Count,Total_Bill_Amount
1233660591833087024,2454985304141717577,IP,19-33,M,KPJ,RM,10,235816.3
1233660591833087024,2454985304141717577,IP,34-48,M,KPJ,RM,10,257495.74999999997
-4297334731691023433,69275896939527291,IP,49-64,F,KPJ,RM,10,86337.5
4444044698744369319,5053715707469957507,IP,65-78,M,KPJ,RM,10,61565.3
4444044698744369319,-3800066422014271228,IP,49-64,M,KPJ,RM,10,334737.15
34951405332111201,9009647964309584012,IP,19-33,M,KPJ,RM,10,338205.75
34951405332111201,-951447067435077241,IP,19-33,M,KPJ,RM,10,377034.79999999993
34951405332111201,683356327539910181,IP,34-48,M,KPJ,RM,10,376853.25
607033468150506309,2454985304141717577,IP,14-18,M,KPJ,RM,10,159422.25
526030796439060595,69275896939527291,IP,34-48,F,KPJ,RM,10,60681
5720617561322572362,69275896939527291,IP,49-64,F,KPJ,RM,10,111795.35
4444044698744369319,5053715707469957507,IP,19-33,M,KPJ,RM,10,62999.75
6963531762191349518,69275896939527291,IP,49-64,M,KPJ,RM,9,72213.95000000001
7056797660181121081,2012286671987707772,IP,49-64,F,KPJ,RM,9,258446.75
34951405332111201,69275896939527291,IP,34-48,F,KPJ,RM,9,67690.45
34951405332111201,-7186116407280517346,IP,19-33,M,KPJ,RM,9,372745.9
34951405332111201,69275896939527291,IP,19-33,F,KPJ,RM,9,58735.7
2622814373144770076,-1233489077635294285,IP,65-78,F,KPJ,RM,9,249165.6
2807579814954840036,6601097132759056815,IP,49-64,F,KPJ,RM,9,68770.35
-4297334731691023433,69275896939527291,IP,19-33,F,KPJ,RM,9,50763.35
-4297334731691023433,683356327539910181,IP,34-48,M,KPJ,RM,9,346613.7
-4297334731691023433,69275896939527291,OP,79-98,M,KPJ,RM,9,29170.1
-4297334731691023433,69275896939527291,OP," 3-5",M,KPJ,RM,9,4653.9
-5702215334154323660,-3800066422014271228,IP,65-78,F,KPJ,RM,9,275635.64999999997
-3683773791594618461,-5576741191788985122,DP,19-33,M,KPJ,RM,9,49804.35
-4297334731691023433,-3085373731158004225,OP,19-33,F,KPJ,RM,9,8361.25
-4297334731691023433,-3085373731158004225,OP,79-98,F,KPJ,RM,9,12166.400000000001
-4297334731691023433,1755838254210306008,OP,34-48,F,KPJ,RM,9,9234.9
-4297334731691023433,-8383966308998902685,IP," 3-5",M,KPJ,RM,9,84961.9
-4297334731691023433,3257572218407810539,OP,65-78,M,KPJ,RM,9,39653.2
-4297334731691023433,2747006091829731993,OP,49-64,M,KPJ,RM,9,5566.25
-4297334731691023433,2454985304141717577,IP,65-78,M,KPJ,RM,9,189528.54999999996
-4297334731691023433,3909308648118648264,OP,19-33,F,KPJ,RM,9,3840.6
-4297334731691023433,3909308648118648264,OP," 3-5",M,KPJ,RM,9,5490.35
-4297334731691023433,3909308648118648264,OP,65-78,F,KPJ,RM,9,5558.450000000001
-4297334731691023433,6601097132759056815,IP,49-64,F,KPJ,RM,9,59214.3
-3473975244943974765,3061173402902161677,IP,49-64,M,KPJ,RM,9,258126
-2942052673099793901,5053715707469957507,IP,34-48,F,KPJ,RM,9,63146.7
-2582871044484509859,5053715707469957507,IP,65-78,M,KPJ,RM,9,218125.6
-2582871044484509859,5053715707469957507,DP,49-64,F,KPJ,RM,9,171927.35
-12326862916496285,2454985304141717577,IP,19-33,M,KPJ,RM,9,176815.55000000002
-12326862916496285,2454985304141717577,IP,49-64,F,KPJ,RM,9,178013.6
-12326862916496285,2454985304141717577,IP,34-48,M,KPJ,RM,8,172099.85000000003
-1434428718637060698,5053715707469957507,IP,19-33,M,KPJ,RM,8,50299.399999999994
-2942052673099793901,69275896939527291,IP,34-48,M,KPJ,RM,8,63789.80000000001
-30039628293283960,1755838254210306008,IP,19-33,M,KPJ,RM,8,38526.55
-4297334731691023433,5053715707469957507,IP,65-78,F,KPJ,RM,8,65911.7
-4297334731691023433,4074833484965539161,DP,19-33,M,KPJ,RM,8,50715.200000000004
-4297334731691023433,3909308648118648264,OP," 3-5",F,KPJ,RM,8,3834.6000000000004
-4297334731691023433,2747006091829731993,OP,65-78,F,KPJ,RM,8,2789
-4297334731691023433,-8383966308998902685,IP,49-64,M,KPJ,RM,8,79923.90000000001
-4297334731691023433,-3085373731158004225,OP,49-64,M,KPJ,RM,8,14254.3
-3683773791594618461,-5576741191788985122,DP,34-48,M,KPJ,RM,8,41568.649999999994
-3683773791594618461,-5576741191788985122,IP,49-64,F,KPJ,RM,8,39707.5
-4220538223601484842,-5089017982396691432,IP,49-64,F,KPJ,RM,8,92016.54999999999
-5702215334154323660,69275896939527291,IP,65-78,F,KPJ,RM,8,49680.85
-6348146231374302084,1755838254210306008,IP,19-33,M,KPJ,RM,8,46262.95
-4297334731691023433,69275896939527291,IP,49-64,M,KPJ,RM,8,41583.40000000001
-4297334731691023433,9172699623480912390,IP,49-64,M,KPJ,RM,8,197280.40000000002
-4879096931856976713,6601097132759056815,IP,65-78,F,KPJ,RM,8,64133.05
1203358776790005785,-2405221121518738744,IP,65-78,F,KPJ,RM,8,220486.05000000002
1203358776790005785,-1348179578552615098,IP,79-98,F,KPJ,RM,8,220769.39999999997
-8612547061528973037,5053715707469957507,IP,49-64,M,KPJ,RM,8,100514.15
-8612547061528973037,5053715707469957507,IP,65-78,F,KPJ,RM,8,50690.7
-8700590785308925357,831497597449444662,IP,34-48,M,KPJ,RM,8,68842.15
-7352265107441918979,2454985304141717577,IP,19-33,M,KPJ,RM,8,124894.15000000001
2507542082078810448,-8383966308998902685,IP," 6-13",M,KPJ,RM,8,80182
2206516015319531781,1105272675531099354,IP,49-64,M,KPJ,RM,8,89148.05
34951405332111201,794232467563241228,IP,19-33,M,KPJ,RM,8,342479.6
4076079542535188688,-695644322449358746,IP,34-48,M,KPJ,RM,8,81590.15
4444044698744369319,5053715707469957507,IP,65-78,F,KPJ,RM,8,93061.20000000001
34951405332111201,-6632458379646648511,IP,34-48,M,KPJ,RM,8,305151.2
7056797660181121081,2012286671987707772,IP,65-78,F,KPJ,RM,8,194805.94999999998
6297088545629101953,5053715707469957507,IP,34-48,M,KPJ,RM,8,51665.1
4938561150771690325,-695644322449358746,IP,19-33,M,KPJ,RM,8,97966.45
526030796439060595,-1640521644483910203,IP,34-48,F,KPJ,RM,8,75133.2
5674432879372365705,-3800066422014271228,IP,65-78,F,KPJ,RM,8,247464.55
8088326883167485463,2454985304141717577,IP,34-48,M,KPJ,RM,8,168282.75
9033927806171237369,6601097132759056815,IP,34-48,M,KPJ,RM,8,54286.6
9033927806171237369,6601097132759056815,IP,49-64,F,KPJ,RM,8,56468.100000000006
8147826682358411235,-8383966308998902685,IP," 6-13",M,KPJ,RM,7,54155.35
5720617561322572362,69275896939527291,IP,34-48,F,KPJ,RM,7,36811.149999999994
5022461076235725834,-8383966308998902685,IP," 6-13",M,KPJ,RM,7,63647.399999999994
526030796439060595,69275896939527291,IP,49-64,M,KPJ,RM,7,45929.7
6963531762191349518,69275896939527291,DP,49-64,F,KPJ,RM,7,48921.4
6963531762191349518,-3800066422014271228,IP,65-78,F,KPJ,RM,7,218358.9
6886763735090978775,6601097132759056815,IP,49-64,F,KPJ,RM,7,34786.25
34951405332111201,-3664808159173123530,IP,19-33,M,KPJ,RM,7,257963.5
34951405332111201,4942113541032353282,IP,34-48,M,KPJ,RM,7,280781.85000000003
34951405332111201,5053715707469957507,IP,34-48,M,KPJ,RM,7,59778.15
2206516015319531781,-392083450555986726,IP,49-64,M,KPJ,RM,7,236686.05
2622814373144770076,-1233489077635294285,IP,79-98,F,KPJ,RM,7,227758.9
2507542082078810448,2454985304141717577,IP,49-64,M,KPJ,RM,7,134092.25000000003
2622814373144770076,-695644322449358746,IP,34-48,M,KPJ,RM,7,152304.05
2807579814954840036,6601097132759056815,IP,34-48,F,KPJ,RM,7,67242
2807579814954840036,519226869006739077,IP,34-48,F,KPJ,RM,7,46304.4
348970049712040709,5053715707469957507,IP,49-64,M,KPJ,RM,7,143142.15
-7878322123956319659,-4436898128208229243,IP,49-64,F,KPJ,RM,7,394933.6
-8700590785308925357,-4620489455227343640,IP,19-33,M,KPJ,RM,7,122068.3
-8612547061528973037,5053715707469957507,IP,19-33,M,KPJ,RM,7,44482.75
-8266636339690439452,-1348179578552615098,IP,79-98,F,KPJ,RM,7,185262.2
18792830524297931,5053715707469957507,IP,19-33,M,KPJ,RM,7,31271.35
-4879096931856976713,6601097132759056815,IP,65-78,M,KPJ,RM,7,66735
-4879096931856976713,6601097132759056815,DP,34-48,M,KPJ,RM,7,28033.100000000006
-6348146231374302084,1755838254210306008,IP,49-64,F,KPJ,RM,7,31979.1
-5702215334154323660,69275896939527291,IP,34-48,F,KPJ,RM,7,72193.2
-5890664549861833953,-3085373731158004225,IP,49-64,F,KPJ,RM,7,34744.5
-5702215334154323660,-3800066422014271228,IP,49-64,F,KPJ,RM,7,240678.75000000003
-4297334731691023433,-392083450555986726,IP,65-78,M,KPJ,RM,7,103367.75000000001
-4297334731691023433,-4460384842731820476,IP,19-33,M,KPJ,RM,7,228546.40000000002
-4297334731691023433,-3085373731158004225,IP," 6-13",M,KPJ,RM,7,30682.950000000004
-4297334731691023433,-8383966308998902685,IP,65-78,F,KPJ,RM,7,66155.5
-4297334731691023433,2454985304141717577,IP," 6-13",F,KPJ,RM,7,128180.79999999999
-4297334731691023433,1755838254210306008,IP,19-33,M,KPJ,RM,7,49967.85
-4297334731691023433,1355960220887288364,IP,49-64,F,KPJ,RM,7,158563.95
-4297334731691023433,-8383966308998902685,IP,19-33,M,KPJ,RM,7,73587.65
-4297334731691023433,-8383966308998902685,OP," 6-13",M,KPJ,RM,7,17128.949999999997
-4297334731691023433,3909308648118648264,OP," 6-13",F,KPJ,RM,7,3075.2999999999997
-2942052673099793901,9172699623480912390,IP,19-33,M,KPJ,RM,7,141216
-2942052673099793901,9172699623480912390,IP,34-48,F,KPJ,RM,7,145805.05000000002
-3084291871689559184,-5863734757685757707,IP,34-48,F,KPJ,RM,7,104274.6
-3473975244943974765,3061173402902161677,IP,49-64,F,KPJ,RM,6,198379.94999999998
-30039628293283960,1755838254210306008,IP,34-48,F,KPJ,RM,6,27222.149999999998
-2942052673099793901,69275896939527291,IP,34-48,F,KPJ,RM,6,29588.35
-2942052673099793901,5053715707469957507,IP,34-48,M,KPJ,RM,6,45879.1
-2942052673099793901,4016749008586628505,IP,34-48,F,KPJ,RM,6,115166.75
