atom_id,source_code
A34774720,50385
A24207598,71120
A13077359,20937
A17111494,46285
A21060213,57155
A34768657,96377
A34775417,75733
A32352721,11970
A29929125,10004
A32351036,31661
A32358063,63047
A32364703,75561
A32360865,88245
A21041859,61320
A21035010,86485
A23573780,27691
A19991911,44205
A34771611,64783
A4863176,92534
A32367490,92551
A32352607,99496
A32355499,36558
A15886811,24925
A19992103,69725
A0816502,75827
A4856517,43453
A15887324,28240
A23578148,87538
A23581117,28102
A34771282,1020434
A19996665,66225
A23575556,1004201
A15886405,27280
A23576833,15576
A23576249,28106
A23576253,28106
A34770033,66989
A28578570,31253
A32351611,63090
A32360423,76805
A4853254,74775
A8576455,62350
A21041402,41006
A25756467,81272
A34768418,49451
A28578629,43286
A32366218,34716
A32362159,44210
A21045514,54840
A32364670,73010
A21060252,58943
A21041329,35685
A28578419,34709
A28578032,0469T
A34771068,64492
A32355972,64494
A4853206,73060
A24206637,54435
A24210574,33880
A23572163,28010
A23574639,81290
A21054047,87498
A34767906,61544
A34771670,78016
A24212698,77001
A17110267,33783
A32365976,25077
A32363874,26020
A32362706,78831
A15885032,21029
A18513757,49550
A21060046,49402
A23578819,1002797
A0797393,84300
A23578024,1004680
A28578513,94621
A29928764,0541T
A19993928,32662
A21055955,31530
A31178728,49013
A27406009,28292
A4860391,26489
A24209485,80340
A21052537,36596
A23580054,11008
A23570000,1008280
A34773611,38381
A34775274,43232
A23569123,1007499
A32353520,45315
A21049921,88307
A15887409,12044
A23574803,1007878
A19995652,35538
A34767319,50390
A34770136,0264U
A21046744,35583
A32352620,0612T
A4710389,47610
A15885960,25150
A21043047,63087
A24212453,54328
A21053686,89330
A24209056,51703
A21051421,83873
A32359111,0636T
A32353108,26863
A21035581,99192
A23571756,21615
A18513526,99304
A23577348,1014216
A34770236,0672T
A34770322,22532
A34769636,90460
A32354095,81120
A0776369,92312
A1746878,61611
A21045600,61150
A21051647,99255
A4847548,33251
A27405141,JE
A34768678,0648T
A34773564,33257
A19996153,99404
A4862284,57230
A4850346,29804
A34772414,26561
A23576310,81382
A21058745,86648
A4781423,86674
A13077844,3062F
A34774496,01716
A32365049,85366
A4863530,54125
A8583966,43305
A19991835,32601
A21036589,86255
A18513874,89321
A23569778,28102
A4773933,82378
A34774846,72128
A34771655,73718
A19992594,36556
A32350722,17272
A32360250,63101
A32365266,90743
A19996100,92354
A23577732,21256
A32364323,46750
A32350483,00100
A32352775,15005
A32359667,31652
A27406284,SB
A24208636,44401
A24210871,63170
A24209696,33542
A19992226,86148
A23571216,21172
A25756116,50431
A34769502,64644
A18513001,82139
A34774685,43325
A34774716,49572
A1946107,87086
A4852817,61524
A4858052,43135
A21046902,15572
A21060462,63740
A21034347,54420
A23577772,23491
A21060571,69610
A34770066,76882
A31180497,95719
A28578398,32998
A32359389,17282
A18512158,75880
A0723925,33330
A23580464,1003685
A23572975,27690
A18513733,37220
A25757001,49185
A34773789,81349
A32356751,94640
A32365223,0193U
A19994180,44360
A34771482,36565
A34770603,76511
A31179298,74240
A32365845,17281
A32355054,17282
A17110981,21932
A32351745,73040
A32354356,87426
A24209132,61626
A21046339,93463
A21055690,25040
A23572502,37237
A25756755,69209
A34767634,00160
A18512056,26750
A21050228,99221
A32360049,50557
A21054037,84228
A15885915,21340
A34774199,47370
A21056024,33249
A21031811,33258
A21056492,54100
A0921753,58820
A23575742,1018544
A23568327,72040
A32362733,80210
A32363276,94003
A32351797,76811
A32364896,81400
A21053472,82693
A2407223,57454
A4953868,58145
A15885561,27870
A28577580,36516
A19996825,86668
A34768327,31786
A19996610,61531
A4856706,27254
A21060817,84436
A21059377,26410
A24207001,44404
A24211803,72220
A21059678,33852
A31180321,33017
A32365880,19370
A0814579,50974
A21037383,27781
A15885304,4189F
A23575604,1007190
A23569081,1005565
A21059790,36820
A34774540,22612
A32363517,11442
A32352699,11444
A32357964,58410
A32366959,80047
A21060196,55520
A15885505,24066
A32360207,63030
A15885190,0516F
A34771312,11306
A34771422,28470
A34773765,76827
A21057642,84110
A24210666,35131
A2407385,01996
A32361429,15004
A32362533,69705
A32356285,81401
A2407849,11600
A19994984,49651
A21058802,89320
A17110485,55873
A13077447,0108T
A19993154,3055F
A21057898,19328
A29929405,95970
A32363875,26115
A32355530,37242
A4917745,99024
A17111364,31628
A34773042,36556
A34771815,1013760
A31179151,95715
A32362330,59610
A32360598,81401
A15885542,26820
A0676424,86156
A19995056,59620
A24206983,33988
A29929516,77387
A27405773,KT
A21050192,76886
A4850221,33910
A32352753,14040
A32351502,54410
A32354464,0165U
A0722092,62360
A21052333,31540
A32353248,33863
A23574942,37241
A34773898,98981
A34773323,90664
A4852298,23035
A19997520,78195
A0783559,92370
A0682536,52327
A11001135,15135
A32360992,92227
A34775307,52250
A34769008,64905
A34772671,75894
A21052825,50686
A32357230,17284
A17111298,27076
A32355903,63045
A32354246,81408
A15887511,99407
